userId	country	email	last_login	sex	age_group	age
4	DE	DE000003	2026-03-17T19:29:07Z	F	4	45
5	CH	CH000004	2026-04-01T04:54:43Z	F	3	36
6	CH	CH000005	2025-06-05T12:55:17Z	NA	NA	NA
7	GR	GR000006	2025-11-10T08:28:55Z	NA	NA	NA
8	GR	GR000007	2025-11-20T08:58:00Z	NA	NA	NA
9	GR	GR000008	2025-05-19T19:16:20Z	NA	NA	NA
10	CH	CH000009	2026-02-16T08:43:09Z	NA	NA	NA
11	DE	DE000010	2026-04-14T18:20:08Z	F	5	55
12	DE	DE000011	2026-03-26T08:43:00Z	M	3	33
13	GR	GR000012	2026-05-26T16:13:00Z	NA	NA	NA
16	DE	DE000015	2025-10-16T19:34:47Z	M	2	28
17	GR	GR000016	2025-09-03T19:21:39Z	NA	NA	NA
19	GR	GR000018	2026-03-26T16:28:39Z	NA	NA	NA
20	DE	DE000019	2026-01-05T17:31:20Z	M	4	43
21	DE	DE000020	2026-05-21T17:12:17Z	M	5	51
22	GR	GR000021	2025-07-10T00:31:16Z	NA	NA	NA
23	DE	DE000022	2026-03-12T16:03:51Z	M	4	40
24	DE	DE000023	2026-06-05T19:58:07Z	F	4	46
25	DE	DE000024	2025-09-24T19:20:16Z	F	5	52
26	GR	GR000025	2025-11-06T20:24:44Z	NA	NA	NA
27	GR	GR000026	2025-08-13T18:53:52Z	NA	NA	NA
28	GR	GR000027	2025-05-18T06:51:52Z	NA	NA	NA
29	GR	GR000028	2025-07-16T20:50:05Z	NA	NA	NA
30	GR	GR000029	2025-12-14T08:18:16Z	NA	NA	NA
32	GR	GR000031	2026-06-05T10:21:28Z	NA	NA	NA
33	GR	GR000032	2025-05-22T17:54:41Z	NA	NA	NA
34	GR	GR000033	2025-11-21T13:19:23Z	NA	NA	NA
36	GR	GR000035	2026-03-01T18:47:48Z	NA	NA	NA
37	GR	GR000036	2026-06-06T05:43:37Z	NA	NA	NA
38	GR	GR000037	2026-03-24T13:28:21Z	NA	NA	NA
39	GR	GR000038	2026-05-05T13:22:54Z	NA	NA	NA
40	GR	GR000039	2025-12-21T08:00:35Z	NA	NA	NA
41	GR	GR000040	2026-02-19T06:06:41Z	NA	NA	NA
42	GR	GR000041	2025-06-28T12:50:47Z	NA	NA	NA
43	GR	GR000042	2026-05-31T17:52:49Z	NA	NA	NA
44	GR	GR000043	2026-01-27T21:36:49Z	NA	NA	NA
46	GR	GR000045	2026-05-27T09:21:39Z	NA	NA	NA
47	GR	GR000046	2025-08-07T11:39:31Z	NA	NA	NA
48	GR	GR000047	2026-03-10T18:01:46Z	NA	NA	NA
49	GR	GR000048	2026-02-24T14:38:43Z	NA	NA	NA
50	GR	GR000049	2026-06-05T10:14:51Z	NA	NA	NA
51	GR	GR000050	2025-10-11T17:12:38Z	NA	NA	NA
52	GR	GR000051	2025-10-18T17:16:11Z	NA	NA	NA
54	GR	GR000053	2025-06-18T21:02:02Z	NA	NA	NA
55	GR	GR000054	2025-09-09T18:30:18Z	NA	NA	NA
56	GR	GR000055	2026-04-22T16:29:25Z	NA	NA	NA
57	GR	GR000056	2025-10-21T17:53:40Z	NA	NA	NA
58	DE	DE000057	2026-06-02T19:11:39Z	M	3	38
59	IT	IT000058	2025-12-22T10:29:16Z	F	4	NA
60	IT	IT000059	2026-06-06T20:10:56Z	F	2	NA
61	IT	IT000060	2026-03-29T16:03:21Z	M	2	NA
62	IT	IT000061	2026-06-06T15:09:18Z	M	6	NA
63	IT	IT000062	2025-06-17T09:46:47Z	F	2	NA
64	IT	IT000063	2025-10-10T10:55:45Z	M	2	NA
65	IT	IT000064	2026-03-10T09:04:23Z	F	4	NA
67	IT	IT000066	2026-05-26T16:58:29Z	F	4	NA
68	GR	GR000067	2025-07-05T11:46:19Z	NA	NA	NA
69	GR	GR000068	2025-06-23T18:44:44Z	NA	NA	NA
70	IT	IT000069	2026-06-06T22:42:25Z	M	6	NA
71	GR	GR000070	2025-12-04T23:49:54Z	NA	NA	NA
72	GR	GR000071	2025-07-25T05:29:35Z	NA	NA	NA
74	GR	GR000073	2026-05-22T20:13:41Z	NA	NA	NA
75	GR	GR000074	2025-12-19T10:06:28Z	NA	NA	NA
76	GR	GR000075	2025-09-28T19:22:14Z	NA	NA	NA
79	DE	DE000078	2026-06-04T21:59:39Z	F	6	63
86	DE	DE000085	2026-06-02T20:23:46Z	M	2	25
87	DE	DE000086	2025-09-28T19:34:41Z	NA	NA	NA
88	DE	DE000087	2026-06-06T07:33:04Z	M	4	45
89	DE	DE000088	2026-04-30T20:20:00Z	M	5	58
90	DE	DE000089	2026-05-21T21:20:54Z	F	4	44
91	DE	DE000090	2025-09-23T13:02:26Z	F	2	22
92	DE	DE000091	2026-06-04T20:57:30Z	F	3	34
94	GR	GR000093	2026-04-05T08:23:18Z	NA	NA	NA
95	GR	GR000094	2025-11-05T07:19:05Z	NA	NA	NA
97	GR	GR000096	2026-02-04T20:00:31Z	NA	NA	NA
98	GR	GR000097	2025-10-15T06:41:11Z	NA	NA	NA
99	GR	GR000098	2026-04-24T17:07:25Z	NA	NA	NA
100	GR	GR000099	2025-10-03T19:11:15Z	NA	NA	NA
101	GR	GR000100	2026-06-03T20:11:46Z	NA	NA	NA
110	IT	IT000109	2026-06-07T04:59:21Z	M	4	NA
111	IT	IT000110	2026-04-02T04:33:35Z	F	4	NA
113	GR	GR000112	2025-10-21T08:44:26Z	NA	NA	NA
117	CH	CH000116	2026-02-15T13:57:01Z	F	5	52
118	CH	CH000117	2025-09-19T11:13:16Z	F	5	50
119	CH	CH000118	2025-10-29T20:25:51Z	M	5	58
120	DE	DE000119	2026-06-06T05:04:05Z	F	4	47
121	DE	DE000120	2025-09-06T21:04:42Z	F	2	29
122	DE	DE000121	2026-06-06T18:29:30Z	M	4	46
123	DE	DE000122	2026-05-08T16:35:53Z	F	5	53
124	DE	DE000123	2026-06-05T19:41:53Z	M	3	34
125	DE	DE000124	2025-11-28T23:47:41Z	M	2	27
126	DE	DE000125	2026-06-06T20:27:24Z	M	5	59
127	CH	CH000126	2026-06-06T19:16:49Z	M	7	74
128	CH	CH000127	2026-04-27T18:26:05Z	M	4	40
130	GR	GR000129	2026-06-05T05:29:16Z	NA	NA	NA
132	IT	IT000131	2026-06-05T12:25:37Z	F	5	NA
133	CH	CH000132	2026-05-29T20:09:52Z	M	6	66
134	IT	IT000133	2025-10-17T08:19:45Z	M	5	NA
135	GR	GR000134	2026-04-02T19:24:55Z	NA	NA	NA
137	GR	GR000136	2026-04-02T11:04:39Z	NA	NA	NA
139	IT	IT000138	2026-06-06T22:27:34Z	M	2	NA
141	GR	GR000140	2026-04-27T18:31:00Z	NA	NA	NA
143	GR	GR000142	2026-05-16T12:59:57Z	NA	NA	NA
144	IT	IT000143	2026-02-05T19:55:08Z	M	4	NA
145	GR	GR000144	2026-03-26T20:27:49Z	NA	NA	NA
146	GR	GR000145	2026-04-06T10:20:04Z	NA	NA	NA
148	CH	CH000147	2026-06-06T17:29:41Z	M	7	72
149	CH	CH000148	2026-01-26T20:43:51Z	M	2	22
150	GR	GR000149	2026-04-08T14:03:37Z	NA	NA	NA
151	CH	CH000150	2026-06-06T20:21:02Z	F	5	57
152	CH	CH000151	2025-12-05T10:44:44Z	M	2	27
153	CH	CH000152	2026-06-06T19:49:03Z	M	7	72
154	CH	CH000153	2026-05-21T18:24:10Z	F	5	51
155	CH	CH000154	2026-04-02T20:02:08Z	M	5	57
156	CH	CH000155	2026-06-06T06:51:24Z	F	7	76
157	CH	CH000156	2026-03-23T21:03:16Z	F	5	53
158	CH	CH000157	2026-06-07T09:04:38Z	F	5	51
160	CH	CH000159	2026-04-12T19:12:34Z	F	4	41
162	CH	CH000161	2026-06-04T09:41:07Z	F	4	46
164	CH	CH000163	2026-06-04T19:08:58Z	M	7	72
165	IT	IT000164	2026-06-06T23:19:59Z	F	4	NA
167	CH	CH000166	2026-06-05T09:34:29Z	F	4	48
168	CH	CH000167	2026-06-06T14:49:44Z	M	3	38
169	CH	CH000168	2026-06-06T21:03:40Z	M	3	31
170	CH	CH000169	2026-06-03T13:23:29Z	F	6	62
171	IT	IT000170	2026-06-07T07:52:43Z	F	4	NA
172	IT	IT000171	2026-06-04T16:37:53Z	M	4	NA
173	IT	IT000172	2026-05-03T19:05:32Z	F	5	NA
174	IT	IT000173	2026-05-14T18:38:41Z	F	4	NA
175	IT	IT000174	2026-05-18T14:41:18Z	F	4	NA
176	IT	IT000175	2026-06-06T19:54:21Z	F	5	NA
178	GR	GR000177	2026-06-04T18:05:41Z	NA	NA	NA
179	IT	IT000178	2026-06-01T14:45:29Z	M	3	NA
180	IT	IT000179	2026-06-05T18:51:32Z	F	6	NA
181	IT	IT000180	2026-05-29T19:49:13Z	F	5	NA
182	IT	IT000181	2026-06-04T19:01:33Z	F	7	NA
183	IT	IT000182	2026-03-12T21:38:22Z	F	3	NA
184	IT	IT000183	2026-06-01T12:21:50Z	F	3	NA
185	IT	IT000184	2026-05-02T08:30:43Z	F	3	NA
186	IT	IT000185	2026-01-27T19:58:45Z	F	3	NA
187	IT	IT000186	2026-04-29T03:19:01Z	F	2	NA
189	IT	IT000188	2026-06-06T20:23:18Z	M	3	NA
190	IT	IT000189	2026-06-07T09:50:40Z	M	3	NA
192	CH	CH000191	2026-06-05T09:01:14Z	M	3	39
193	CH	CH000192	2026-05-05T20:21:05Z	F	4	46
194	GR	GR000193	2026-06-04T04:47:42Z	NA	NA	NA
195	CH	CH000194	2026-06-01T22:23:49Z	M	2	25
196	CH	CH000195	2026-06-07T10:08:24Z	F	3	35
197	CH	CH000196	2026-06-06T19:07:20Z	F	3	33
200	CH	CH000199	2026-06-06T20:22:24Z	M	2	25
202	CH	CH000201	2026-06-03T05:14:27Z	M	6	67
205	CH	CH000204	2026-06-05T23:54:22Z	F	3	33
206	CH	CH000205	2026-06-02T12:56:42Z	F	3	34
207	CH	CH000206	2026-06-04T07:58:35Z	M	3	37
208	CH	CH000207	2026-06-05T06:57:49Z	M	2	26
212	CH	CH000211	2026-06-05T23:15:57Z	M	2	26
214	CH	CH000213	2026-06-06T20:21:48Z	M	3	31
215	IT	IT000214	2026-06-03T20:41:10Z	NA	NA	NA
216	CH	CH000215	2026-06-04T23:43:22Z	NA	NA	NA
217	IT	IT000216	2026-06-06T16:37:44Z	NA	NA	NA
219	CH	CH000218	2026-05-31T10:04:16Z	NA	NA	NA
220	CH	CH000219	2026-06-05T20:06:57Z	NA	NA	NA
221	CH	CH000220	2026-06-06T20:56:42Z	NA	NA	NA
222	CH	CH000221	2026-06-06T12:07:33Z	NA	NA	NA
223	CH	CH000222	2026-06-06T18:38:16Z	NA	NA	NA
224	CH	CH000223	2026-06-04T04:54:04Z	NA	NA	NA
225	CH	CH000224	2026-04-08T09:38:08Z	NA	NA	NA
230	CH	CH000229	2026-05-07T19:50:09Z	NA	NA	NA
231	CH	CH000230	2026-05-21T21:49:40Z	NA	NA	NA
232	CH	CH000231	2026-06-06T23:20:16Z	NA	NA	NA
233	CH	CH000232	2026-05-09T21:36:52Z	NA	NA	NA
234	CH	CH000233	2026-05-07T21:16:57Z	NA	NA	NA
235	CH	CH000234	2026-06-01T20:23:55Z	NA	NA	NA
236	CH	CH000235	2026-06-07T07:49:26Z	NA	NA	NA
237	CH	CH000236	2026-06-03T23:41:47Z	NA	NA	NA
238	CH	CH000237	2026-06-07T08:21:00Z	NA	NA	NA
239	CH	CH000238	2026-06-05T22:47:24Z	NA	NA	NA
240	CH	CH000239	2026-05-26T05:42:40Z	NA	NA	NA
241	CH	CH000240	2026-06-07T09:15:20Z	NA	NA	NA
242	GR	GR000241	2026-06-05T16:55:37Z	NA	NA	NA
243	IT	IT000242	2026-06-07T08:35:41Z	NA	NA	NA
244	IT	IT000243	2026-06-06T22:36:38Z	NA	NA	NA
245	CH	CH000244	2026-06-06T21:21:53Z	NA	NA	NA
246	IT	IT000245	2026-05-27T06:08:58Z	NA	NA	NA
247	IT	IT000246	2026-06-05T16:57:39Z	NA	NA	NA
248	IT	IT000247	2026-06-07T08:14:06Z	NA	NA	NA
249	IT	IT000248	2026-06-05T21:47:45Z	NA	NA	NA
250	CH	CH000249	2026-06-01T08:05:00Z	NA	NA	NA
252	IT	IT000251	2026-05-20T16:56:55Z	NA	NA	NA
253	CH	CH000252	2026-06-06T23:19:12Z	NA	NA	NA
254	IT	IT000253	2026-06-05T20:48:25Z	NA	NA	NA
255	CH	CH000254	2026-06-06T06:11:20Z	NA	NA	NA
256	CH	CH000255	2026-06-06T14:53:59Z	NA	NA	NA
257	CH	CH000256	2026-06-06T07:29:15Z	NA	NA	NA
258	CH	CH000257	2026-06-06T05:42:28Z	NA	NA	NA
259	CH	CH000258	2026-06-07T09:31:03Z	NA	NA	NA
260	CH	CH000259	2026-06-05T09:36:52Z	NA	NA	NA
